mouseGene	humanGene
Myo1b	MYO1B
Stat4	STAT4
Stat1	STAT1
Gls	GLS
Nab1	NAB1
Nemp2	NEMP2
Mfsd6	MFSD6
Inpp1	INPP1
Hibch	HIBCH
1700019D03Rik	C2orf88
Pms1	PMS1
Ormdl1	ORMDL1
Osgepl1	OSGEPL1
Asnsd1	ASNSD1
Dnah7a	DNAH7
Stk17b	STK17B
Hecw2	HECW2
Ccdc150	CCDC150
Gtf3c3	GTF3C3
Pgap1	PGAP1
Ankrd44	ANKRD44
Sf3b1	SF3B1
Coq10b	COQ10B
Hspd1	HSPD1
Hspe1	HSPE1
Mob4	MOB4
Rftn2	RFTN2
Mars2	MARS2
Boll	BOLL
Plcl1	PLCL1
Satb2	SATB2
1700066M21Rik	C2orf69
Tyw5	TYW5
Maip1	MAIP1
Spats2l	SPATS2L
Kctd18	KCTD18
Sgo2a	SGO2
Aox1	AOX1
Bzw1	BZW1
Clk1	CLK1
Ppil3	PPIL3
Nif3l1	NIF3L1
Orc2	ORC2
Fam126b	FAM126B
Ndufb3	NDUFB3
Cflar	CFLAR
Casp8	CASP8
Trak2	TRAK2
Stradb	STRADB
Tmem237	TMEM237
Mpp4	MPP4
Als2	ALS2
Fzd7	FZD7
Sumo1	SUMO1
Nop58	NOP58
Bmpr2	BMPR2
Fam117b	FAM117B
Wdr12	WDR12
Carf	CARF
Nbeal1	NBEAL1
Cyp20a1	CYP20A1
Abi2	ABI2
Raph1	RAPH1
Cd28	CD28
Ctla4	CTLA4
Icos	ICOS
Pard3b	PARD3B
Nrp2	NRP2
Ino80d	INO80D
Ndufs1	NDUFS1
Eef1b2	EEF1B2
Zdbf2	ZDBF2
Adam23	ADAM23
Fastkd2	FASTKD2
Klf7	KLF7
Creb1	CREB1
Mettl21a	METTL21A
Ccnyl1	CCNYL1
Fzd5	FZD5
Plekhm3	PLEKHM3
D630023F18Rik	C2orf80
Idh1	IDH1
Pikfyve	PIKFYVE
Map2	MAP2
Rpe	RPE
Kansl1l	KANSL1L
Acadl	ACADL
Myl1	MYL1
Lancl1	LANCL1
Ikzf2	IKZF2
Bard1	BARD1
Atic	ATIC
Fn1	FN1
Mreg	MREG
Pecr	PECR
Xrcc5	XRCC5
Smarcal1	SMARCAL1
Rpl37a	RPL37A
Igfbp5	IGFBP5
Tns1	TNS1
Rufy4	RUFY4
Cxcr2	CXCR2
Cxcr1	CXCR1
Arpc2	ARPC2
Aamp	AAMP
Pnkd	PNKD
Tmbim1	TMBIM1
Slc11a1	SLC11A1
Ctdsp1	CTDSP1
Vil1	VIL1
Usp37	USP37
Cnot9	CNOT9
Plcd4	PLCD4
Zfp142	ZNF142
Bcs1l	BCS1L
Rnf25	RNF25
Stk36	STK36
Ttll4	TTLL4
Cyp27a1	CYP27A1
Wnt6	WNT6
Wnt10a	WNT10A
Cdk5r2	CDK5R2
Nhej1	NHEJ1
Slc23a3	SLC23A3
Cnppd1	CNPPD1
Retreg2	RETREG2
Zfand2b	ZFAND2B
Abcb6	ABCB6
Atg9a	ATG9A
Ankzf1	ANKZF1
Glb1l	GLB1L
Stk16	STK16
Tuba4a	TUBA4A
Dnajb2	DNAJB2
Ptprn	PTPRN
Dnpep	DNPEP
Des	DES
Speg	SPEG
Gmppa	GMPPA
Chpf	CHPF
Tmem198	TMEM198
Stk11ip	STK11IP
Slc4a3	SLC4A3
Epha4	EPHA4
Farsb	FARSB
Mogat1	MOGAT1
Acsl3	ACSL3
Utp14b	UTP14C
Kcne4	KCNE4
Ap1s3	AP1S3
Wdfy1	WDFY1
Mrpl44	MRPL44
Serpine2	SERPINE2
Fam124b	FAM124B
Cul3	CUL3
Dock10	DOCK10
Nyap2	NYAP2
Irs1	IRS1
Rhbdd1	RHBDD1
Col4a4	COL4A4
Agfg1	AGFG1
Ccl20	CCL20
Pid1	PID1
Dner	DNER
Trip12	TRIP12
Fbxo36	FBXO36
Sp110	SP110
Sp140	SP140
Cab39	CAB39
Itm2c	ITM2C
Gpr55	GPR55
2810459M11Rik	C2orf72
Psmd1	PSMD1
Htr2b	HTR2B
Armc9	ARMC9
B3gnt7	B3GNT7
Ncl	NCL
Pde6d	PDE6D
Cops7b	COPS7B
Nppc	NPPC
Dis3l2	DIS3L2
Eif4e2	EIF4E2
Efhd1	EFHD1
Gigyf2	GIGYF2
Kcnj13	KCNJ13
Ngef	NGEF
Neu2	NEU2
Inpp5d	INPP5D
Atg16l1	ATG16L1
Sag	SAG
Dgkd	DGKD
Usp40	USP40
Ugt1a6a	UGT1A6
Mroh2a	MROH2A
Hjurp	HJURP
Arl4c	ARL4C
Sh3bp4	SH3BP4
Agap1	AGAP1
Ackr3	ACKR3
Cops8	COPS8
Col6a3	COL6A3
Mlph	MLPH
Rab17	RAB17
Lrrfip1	LRRFIP1
Rbm44	RBM44
Ramp1	RAMP1
Ube2f	UBE2F
Scly	SCLY
Klhl30	KLHL30
Erfe	ERFE
Ilkap	ILKAP
Hes6	HES6
Per2	PER2
Traf3ip1	TRAF3IP1
Asb1	ASB1
Twist2	TWIST2
Hdac4	HDAC4
Ndufa10	NDUFA10
Cops9	COPS9
Otos	OTOS
Gpc1	GPC1
Ankmy1	ANKMY1
Dusp28	DUSP28
Rnpepl1	RNPEPL1
Capn10	CAPN10
Gpr35	GPR35
Kif1a	KIF1A
Sned1	SNED1
Mterf4	MTERF4
Pask	PASK
Ppp1r7	PPP1R7
Ano7	ANO7
Hdlbp	HDLBP
Farp2	FARP2
Stk25	STK25
Bok	BOK
Thap4	THAP4
Atg4b	ATG4B
Dtymk	DTYMK
Ing5	ING5
D2hgdh	D2HGDH
Pdcd1	PDCD1
Fam174a	FAM174A
St8sia4	ST8SIA4
Slco4c1	SLCO4C1
Ppip5k2	PPIP5K2
Gin1	GIN1
Pam	PAM
Rnf152	RNF152
Pign	PIGN
Tnfrsf11a	TNFRSF11A
Zcchc2	ZCCHC2
Phlpp1	PHLPP1
Bcl2	BCL2
Kdsr	KDSR
Vps4b	VPS4B
Serpinb5	SERPINB5
Serpinb12	SERPINB12
Serpinb2	SERPINB2
Serpinb8	SERPINB8
Dsel	DSEL
Tsn	TSN
Nifk	NIFK
Clasp1	CLASP1
Tfcp2l1	TFCP2L1
Gli2	GLI2
Inhbb	INHBB
Ralb	RALB
Tmem185b	TMEM185B
Epb41l5	EPB41L5
Ptpn4	PTPN4
Tmem177	TMEM177
Sctr	SCTR
Tmem37	TMEM37
Dbi	DBI
3110009E18Rik	C2orf76
Steap3	STEAP3
En1	EN1
Insig2	INSIG2
Ccdc93	CCDC93
Ddx18	DDX18
Actr3	ACTR3
Slc35f5	SLC35F5
Gpr39	GPR39
Lypd1	LYPD1
Nckap5	NCKAP5
Mgat5	MGAT5
Tmem163	TMEM163
Ccnt2	CCNT2
Rab3gap1	RAB3GAP1
Zranb3	ZRANB3
R3hdm1	R3HDM1
Ubxn4	UBXN4
Mcm6	MCM6
Dars	DARS1
Cxcr4	CXCR4
Thsd7b	THSD7B
Cd55	CD55
Pfkfb2	PFKFB2
Yod1	YOD1
AA986860	C1orf116
Pigr	PIGR
Fcmr	FCMR
Il24	IL24
Il19	IL19
Il10	IL10
Mapkapk2	MAPKAPK2
Dyrk3	DYRK3
Eif2d	EIF2D
Rassf5	RASSF5
Ikbke	IKBKE
Srgap2	SRGAP2
Fam72a	FAM72A
Ctse	CTSE
Rab7b	RAB7B
Slc26a9	SLC26A9
Slc41a1	SLC41A1
Rab29	RAB29
Nucks1	NUCKS1
Slc45a3	SLC45A3
Elk4	ELK4
Mfsd4a	MFSD4A
Cdk18	CDK18
Klhdc8a	KLHDC8A
Nuak2	NUAK2
Tmcc2	TMCC2
Dstyk	DSTYK
Rbbp5	RBBP5
Tmem81	TMEM81
Cntn2	CNTN2
Nfasc	NFASC
Mdm4	MDM4
Pik3c2b	PIK3C2B
Ppp1r15b	PPP1R15B
Etnk2	ETNK2
Sox13	SOX13
Zc3h11a	ZC3H11A
Lax1	LAX1
Atp2b4	ATP2B4
Prelp	PRELP
Btg2	BTG2
Chit1	CHIT1
Chil1	CHI3L1
Mybph	MYBPH
Tmem183a	TMEM183A
Cyb5r1	CYB5R1
Adipor1	ADIPOR1
Klhl12	KLHL12
Rabif	RABIF
Kdm5b	KDM5B
Syt2	SYT2
Ube2t	UBE2T
Lgr6	LGR6
Ptpn7	PTPN7
Arl8a	ARL8A
Elf3	ELF3
Rnpep	RNPEP
Timm17a	TIMM17A
Shisa4	SHISA4
Ipo9	IPO9
Nav1	NAV1
Csrp1	CSRP1
Phlda3	PHLDA3
Tnni1	TNNI1
Lad1	LAD1
Tnnt2	TNNT2
Pkp1	PKP1
Tmem9	TMEM9
Cacna1s	CACNA1S
Kif21b	KIF21B
Camsap2	CAMSAP2
Ddx59	DDX59
Kif14	KIF14
Zfp281	ZNF281
Nr5a2	NR5A2
Ptprc	PTPRC
Atp6v1g3	ATP6V1G3
Nek7	NEK7
2310009B15Rik	C1orf53
Dennd1b	DENND1B
Zbtb41	ZBTB41
Aspm	ASPM
Cfh	CFH
Cdc73	CDC73
B3galt2	B3GALT2
Glrx2	GLRX2
Uchl5	UCHL5
Rgs2	RGS2
Rgs1	RGS1
Rgs18	RGS18
Brinp3	BRINP3
Pla2g4a	PLA2G4A
Ptgs2	PTGS2
Tpr	TPR
Hmcn1	HMCN1
Ivns1abp	IVNS1ABP
Swt1	SWT1
Trmt1l	TRMT1L
Rnf2	RNF2
Edem3	EDEM3
1700025G04Rik	C1orf21
Tsen15	TSEN15
Colgalt2	COLGALT2
Rgl1	RGL1
Arpc5	ARPC5
Ncf2	NCF2
Smg7	SMG7
Nmnat2	NMNAT2
Lamc2	LAMC2
Lamc1	LAMC1
Shcbp1l	SHCBP1L
Dhx9	DHX9
Npl	NPL
Rgs8	RGS8
Rgs16	RGS16
Rnasel	RNASEL
Rgsl1	RGSL1
Glul	GLUL
Cacna1e	CACNA1E
Ier5	IER5
Mr1	MR1
Stx6	STX6
BC034090	KIAA1614
Xpr1	XPR1
Acbd6	ACBD6
Qsox1	QSOX1
Cep350	CEP350
Tor1aip1	TOR1AIP1
Tor1aip2	TOR1AIP2
Nphs2	NPHS2
Axdnd1	AXDND1
Soat1	SOAT1
Abl2	ABL2
Tor3a	TOR3A
Fam20b	FAM20B
Ralgps2	RALGPS2
Angptl1	ANGPTL1
Rasal2	RASAL2
Sec16b	SEC16B
Cop1	COP1
Tnr	TNR
4930523C07Rik	KIAA0040
Tnn	TNN
Mrps14	MRPS14
Cacybp	CACYBP
Rabgap1l	RABGAP1L
Rc3h1	RC3H1
Serpinc1	SERPINC1
Zbtb37	ZBTB37
Dars2	DARS2
Cenpl	CENPL
Klhl20	KLHL20
Prdx6	PRDX6
Tnfsf4	TNFSF4
Tnfsf18	TNFSF18
Fasl	FASLG
Suco	SUCO
Pigc	PIGC
Dnm3	DNM3
Vamp4	VAMP4
Myoc	MYOC
Prrc2c	PRRC2C
Fmo1	FMO1
Fmo2	FMO2
Prrx1	PRRX1
Gorab	GORAB
Kifap3	KIFAP3
Scyl3	SCYL3
BC055324	C1orf112
Mettl18	METTL18
Sele	SELE
Sell	SELL
Selp	SELP
F5	F5
Slc19a2	SLC19A2
Ccdc181	CCDC181
Blzf1	BLZF1
Nme7	NME7
Atp1b1	ATP1B1
Dpt	DPT
Xcl1	XCL1
Sft2d2	SFT2D2
Tiprl	TIPRL
Gpr161	GPR161
Dcaf6	DCAF6
Mpc2	MPC2
Adcy10	ADCY10
Mpzl1	MPZL1
Rcsd1	RCSD1
Creg1	CREG1
Cd247	CD247
Pou2f1	POU2F1
Dusp27	STYXL2
Gpa33	GPA33
Ildr2	ILDR2
Tada1	TADA1
Pogk	POGK
Fam78b	FAM78B
Uck2	UCK2
Tmco1	TMCO1
Aldh9a1	ALDH9A1
Mgst3	MGST3
Pbx1	PBX1
Nuf2	NUF2
Rgs5	RGS5
Hsd17b7	HSD17B7
Ddr2	DDR2
Uap1	UAP1
Uhmk1	UHMK1
Sh2d1b1	SH2D1B
Gm7694	C1orf226
Olfml2b	OLFML2B
Atf6	ATF6
Dusp12	DUSP12
Fcrlb	FCRLB
Fcrla	FCRLA
Fcgr2b	FCGR2B
Fcgr3	FCGR2A
Cfap126	CFAP126
Sdhc	SDHC
Mpz	MPZ
Tomm40l	TOMM40L
Fcer1g	FCER1G
Ndufs2	NDUFS2
Adamts4	ADAMTS4
B4galt3	B4GALT3
Ppox	PPOX
Usp21	USP21
Ufc1	UFC1
Dedd	DEDD
Nit1	NIT1
Pfdn2	PFDN2
Klhdc9	KLHDC9
Nectin4	NECTIN4
Arhgap30	ARHGAP30
Usf1	USF1
Tstd1	TSTD1
F11r	F11R
Itln1	ITLN1
Cd244	CD244
Ly9	LY9
Slamf7	SLAMF7
Cd48	CD48
Slamf1	SLAMF1
Cd84	CD84
Slamf6	SLAMF6
Vangl2	VANGL2
Ncstn	NCSTN
Copa	COPA
Pex19	PEX19
Dcaf8	DCAF8
Pea15a	PEA15
Igsf8	IGSF8
Atp1a2	ATP1A2
Kcnj9	KCNJ9
Kcnj10	KCNJ10
Pigm	PIGM
Slamf9	SLAMF9
Igsf9	IGSF9
Tagln2	TAGLN2
Cfap45	CFAP45
Vsig8	VSIG8
Slamf8	SLAMF8
Fcrl6	FCRL6
Dusp23	DUSP23
Fcer1a	FCER1A
Ackr1	ACKR1
Cadm3	CADM3
Aim2	AIM2
Ifi206	IFI16
Ifi214	IFI16
Ifi213	IFI16
Ifi209	IFI16
Ifi208	IFI16
Ifi207	IFI16
Ifi204	IFI16
Mndal	IFI16
Ifi211	IFI16
Ifi203	IFI16
Ifi205	IFI16
Grem2	GREM2
Fh1	FH
Kmo	KMO
Opn3	OPN3
Chml	CHML
Exo1	EXO1
Cep170	CEP170
Sdccag8	SDCCAG8
Akt3	AKT3
Zbtb18	ZBTB18
1700016C15Rik	C1orf100
Adss	ADSS2
Desi2	DESI2
Cox20	COX20
Hnrnpu	HNRNPU
Efcab2	EFCAB2
Kif26b	KIF26B
Smyd3	SMYD3
Tfb2m	TFB2M
Cnst	CNST
Sccpdh	SCCPDH
Ahctf1	AHCTF1
Cdc42bpa	CDC42BPA
Coq8a	COQ8A
Psen2	PSEN2
Itpkb	ITPKB
Parp1	PARP1
Lin9	LIN9
Acbd3	ACBD3
Sde2	SDE2
Pycr2	PYCR2
Lefty1	LEFTY1
Tmem63a	TMEM63A
Ephx1	EPHX1
Nvl	NVL
Cnih4	CNIH4
Wdr26	WDR26
Lbr	LBR
Enah	ENAH
Srp9	SRP9
Degs1	DEGS1
Fbxo28	FBXO28
Trp53bp2	TP53BP2
Capn2	CAPN2
Susd4	SUSD4
Tlr5	TLR5
Disp1	DISP1
Brox	BROX
Aida	AIDA
Mia3	MIA3
Taf1a	TAF1A
Hhipl2	HHIPL2
Dusp10	DUSP10
Hlx	HLX
C130074G19Rik	C1orf115
Mark1	MARK1
Rab3gap2	RAB3GAP2
Iars2	IARS2
Bpnt1	BPNT1
Eprs	EPRS1
Lyplal1	LYPLAL1
Tgfb2	TGFB2
Rrp15	RRP15
Gpatch2	GPATCH2
Kctd3	KCTD3
Kcnk2	KCNK2
Cenpf	CENPF
Ptpn14	PTPN14
Smyd2	SMYD2
Prox1	PROX1
Rps6kc1	RPS6KC1
Angel2	ANGEL2
Vash2	VASH2
Flvcr1	FLVCR1
Tatdn3	TATDN3
Nsl1	NSL1
Batf3	BATF3
Fam71a	FAM71A
Atf3	ATF3
Nenf	NENF
Ppp2r5a	PPP2R5A
Dtl	DTL
Ints7	INTS7
Lpgat1	LPGAT1
Nek2	NEK2
Slc30a1	SLC30A1
Rd3	RD3
Traf5	TRAF5
Kcnh1	KCNH1
Hhat	HHAT
Sertad4	SERTAD4
Irf6	IRF6
A130010J15Rik	C1orf74
Traf3ip3	TRAF3IP3
Lamb3	LAMB3
Hsd11b1	HSD11B1
G0s2	G0S2
Plxna2	PLXNA2
Cd34	CD34
Cd46	CD46
Cr1l	CR1L
Cr2	CR2
Fam171a1	FAM171A1
Nmt2	NMT2
Rpp38	RPP38
Acbd7	ACBD7
Meig1	MEIG1
Dclre1c	DCLRE1C
Suv39h2	SUV39H2
Hspa14	HSPA14
Cdnf	CDNF
Fam107b	FAM107B
Frmd4a	FRMD4A
Prpf18	PRPF18
Bend7	BEND7
Sephs1	SEPHS1
Phyh	PHYH
Mcm10	MCM10
Optn	OPTN
Camk1d	CAMK1D
Cdc123	CDC123
Nudt5	NUDT5
Sec61a2	SEC61A2
Upf2	UPF2
Proser2	PROSER2
Echdc3	ECHDC3
Usp6nl	USP6NL
Celf2	CELF2
Gata3	GATA3
Taf3	TAF3
Atp5c1	ATP5F1C
Kin	KIN
Itih2	ITIH2
Itih5	ITIH5
Sfmbt2	SFMBT2
Prkcq	PRKCQ
Pfkfb3	PFKFB3
Rbm17	RBM17
Il2ra	IL2RA
Il15ra	IL15RA
Ankrd16	ANKRD16
Itga8	ITGA8
Mindy3	MINDY3
Pter	PTER
C1ql3	C1QL3
Rsu1	RSU1
Cubn	CUBN
Trdmt1	TRDMT1
Vim	VIM
St8sia6	ST8SIA6
Hacd1	HACD1
Stam	STAM
Tmem236	TMEM236
Mrc1	MRC1
Slc39a12	SLC39A12
Cacnb2	CACNB2
Nsun6	NSUN6
Arl5b	ARL5B
Plxdc2	PLXDC2
Skida1	SKIDA1
Mllt10	MLLT10
Dnajc1	DNAJC1
Commd3	COMMD3
Bmi1	COMMD3-BMI1
Pip4k2a	PIP4K2A
Armc3	ARMC3
Msrb2	MSRB2
Otud1	OTUD1
Etl4	KIAA1217
Arhgap21	ARHGAP21
Enkur	ENKUR
Thnsl1	THNSL1
Gad2	GAD2
Apbb1ip	APBB1IP
Pdss1	PDSS1
Abi1	ABI1
Acbd5	ACBD5
Mastl	MASTL
Yme1l1	YME1L1
Spopl	SPOPL
Hnmt	HNMT
Tbpl2	TBPL2
Il1rn	IL1RN
Psd4	PSD4
Cacna1b	CACNA1B
Ehmt1	EHMT1
Arrdc1	ARRDC1
Zmynd19	ZMYND19
Dph7	DPH7
Mrpl41	MRPL41
Pnpla7	PNPLA7
Nsmf	NSMF
Nrarp	NRARP
Tor4a	TOR4A
Nelfb	NELFB
Tubb4b	TUBB4B
Cysrt1	CYSRT1
Rnf208	RNF208
Ndor1	NDOR1
Tmem203	TMEM203
Tprn	TPRN
Ssna1	SSNA1
Anapc2	ANAPC2
Lrrc26	LRRC26
Man1b1	MAN1B1
Dpp7	DPP7
Uap1l1	UAP1L1
Sapcd2	SAPCD2
Entpd2	ENTPD2
Npdc1	NPDC1
Fut7	FUT7
Abca2	ABCA2
Paxx	PAXX
Ptgds	PTGDS
C8g	C8G
Fbxw5	FBXW5
Traf2	TRAF2
Edf1	EDF1
Mamdc4	MAMDC4
Phpt1	PHPT1
Rabl6	RABL6
Tmem141	TMEM141
Camsap1	CAMSAP1
Ubac1	UBAC1
Nacc2	NACC2
Tmem250-ps	TMEM250
Qsox2	QSOX2
Gpsm1	GPSM1
Dnlz	DNLZ
Card9	CARD9
Snapc4	SNAPC4
Pmpca	PMPCA
Inpp5e	INPP5E
Sec16a	SEC16A
Notch1	NOTCH1
Egfl7	EGFL7
Agpat2	AGPAT2
Surf6	SURF6
Med22	MED22
Rpl7a	RPL7A
Surf1	SURF1
Surf2	SURF2
Surf4	SURF4
Rexo4	REXO4
Adamts13	ADAMTS13
Cacfd1	CACFD1
Slc2a6	SLC2A6
Adamtsl2	ADAMTSL2
Sardh	SARDH
Vav2	VAV2
Brd3	BRD3
Wdr5	WDR5
Rxra	RXRA
Col5a1	COL5A1
Fcnb	FCN1
Olfm1	OLFM1
Ppp1r26	PPP1R26
Mrps2	MRPS2
Ralgds	RALGDS
Gtf3c5	GTF3C5
Tsc1	TSC1
Spaca9	SPACA9
Ak8	AK8
Gtf3c4	GTF3C4
Ddx31	DDX31
Cfap77	CFAP77
Setx	SETX
Ntng2	NTNG2
Med27	MED27
Rapgef1	RAPGEF1
Trub2	TRUB2
Coq4	COQ4
Slc27a4	SLC27A4
Urm1	URM1
Cercam	CERCAM
Odf2	ODF2
Gle1	GLE1
Sptan1	SPTAN1
Set	SET
Pkn3	PKN3
Zdhhc12	ZDHHC12
Zer1	ZER1
Tbc1d13	TBC1D13
Endog	ENDOG
Spout1	SPOUT1
Kyat1	KYAT1
Lrrc8a	LRRC8A
Phyhd1	PHYHD1
Dolk	DOLK
Nup188	NUP188
Sh3glb2	SH3GLB2
Miga2	MIGA2
Dolpp1	DOLPP1
Crat	CRAT
Ptpa	PTPA
Ier5l	IER5L
1700001O22Rik	C9orf50
Ntmt1	NTMT1
Asb6	ASB6
Prrx2	PRRX2
Ptges	PTGES
Tor1b	TOR1B
Tor1a	TOR1A
BC005624	C9orf78
Usp20	USP20
Fnbp1	FNBP1
Gpr107	GPR107
Ncs1	NCS1
Hmcn2	HMCN2
Ass1	ASS1
Fubp3	FUBP3
Exosc2	EXOSC2
Abl1	ABL1
Qrfp	QRFP
Fibcd1	FIBCD1
Aif1l	AIF1L
Nup214	NUP214
Fam78a	FAM78A
Plpp7	PLPP7
Prrc2b	PRRC2B
Pomt1	POMT1
Uck1	UCK1
Swi5	SWI5
Golga2	GOLGA2
Dnm1	DNM1
Ciz1	CIZ1
1110008P14Rik	BBLN
Lcn2	LCN2
Ptges2	PTGES2
Slc25a25	SLC25A25
Naif1	NAIF1
Fam102a	FAM102A
Dpm2	DPM2
St6galnac4	ST6GALNAC4
St6galnac6	ST6GALNAC6
Ak1	AK1
Eng	ENG
Fpgs	FPGS
Cdk9	CDK9
Sh2d3c	SH2D3C
Ttc16	TTC16
Tor2a	TOR2A
Ptrh1	PTRH1
Stxbp1	STXBP1
Lrsam1	LRSAM1
Rpl12	RPL12
Slc2a8	SLC2A8
Garnl3	GARNL3
Ralgps1	RALGPS1
Angptl2	ANGPTL2
Zbtb34	ZBTB34
Zbtb43	ZBTB43
Mvb12b	MVB12B
Pbx3	PBX3
Mapkap1	MAPKAP1
Gapvd1	GAPVD1
Hspa5	HSPA5
Rabepk	RABEPK
Fbxw2	FBXW2
Psmd5	PSMD5
Phf19	PHF19
Traf1	TRAF1
Hc	C5
Cntrl	CNTRL
Rab14	RAB14
Gsn	GSN
Stom	STOM
Dab2ip	DAB2IP
Ttll11	TTLL11
Ndufa8	NDUFA8
Morn5	MORN5
Lhx6	LHX6
Rbm18	RBM18
Mrrf	MRRF
Ptgs1	PTGS1
Pdcl	PDCL
Rc3h2	RC3H2
Zbtb6	ZBTB6
Zbtb26	ZBTB26
Rabgap1	RABGAP1
Strbp	STRBP
Gpr21	GPR21
Dennd1a	DENND1A
Lhx2	LHX2
Nek6	NEK6
Psmb7	PSMB7
Nr6a1	NR6A1
Olfml2a	OLFML2A
Wdr38	WDR38
Rpl35	RPL35
Arpc5l	ARPC5L
Golga1	GOLGA1
Scai	SCAI
Ppp6c	PPP6C
Kynu	KYNU
Arhgap15	ARHGAP15
Gtdc1	GTDC1
Zeb2	ZEB2
Acvr2a	ACVR2A
Orc4	ORC4
Mbd5	MBD5
Epc2	EPC2
Kif5c	KIF5C
Lypd6b	LYPD6B
Mmadhc	MMADHC
Rnd3	RND3
Rbm43	RBM43
Nmi	NMI
Tnfaip6	TNFAIP6
Rif1	RIF1
Neb	NEB
Arl5a	ARL5A
Cacnb4	CACNB4
Stam2	STAM2
Fmnl2	FMNL2
Prpf40a	PRPF40A
Arl6ip6	ARL6IP6
Nr4a2	NR4A2
Gpd2	GPD2
Ermn	ERMN
Cytip	CYTIP
Acvr1	ACVR1
Upp2	UPP2
Ccdc148	CCDC148
Pkp4	PKP4
Dapl1	DAPL1
Tanc1	TANC1
Wdsub1	WDSUB1
Baz2b	BAZ2B
Cd302	CD302
Ly75	LY75
Pla2r1	PLA2R1
Itgb6	ITGB6
Rbms1	RBMS1
Tank	TANK
Psmd14	PSMD14
Dpp4	DPP4
Fap	FAP
Ifih1	IFIH1
Gca	GCA
Grb14	GRB14
Cobll1	COBLL1
Scn3a	SCN3A
Scn2a	SCN2A
Galnt3	GALNT3
Ttc21b	TTC21B
Scn7a	SCN7A
Stk39	STK39
Cers6	CERS6
Nostrin	NOSTRIN
Spc25	SPC25
Dhrs9	DHRS9
Bbs5	BBS5
Klhl41	KLHL41
Fastkd1	FASTKD1
Ppig	PPIG
Ccdc173	CCDC173
Phospho2	PHOSPHO2
Ssb	SSB
Mettl5	METTL5
Ubr3	UBR3
Myo3b	MYO3B
